"workerid","language","enjoyment","gender","age","problems","comments","asses","fairprice","education"
0,"english",1,"Male",33,"no","great hit","Yes","40",1
1,"English",1,"Male",53,"No","","Yes",".25",2
2,"english",0,"Male",31,"no","","Yes",".25",3
3,"English",0,"Female",22,"","","Yes","yes",2
4,"english",1,"Female",40,"no problems","thank you!","Yes","yes",1
5,"English",0,"Male",25,"no","","No",".25",3
6,"English",0,"Male",31,"","","Yes","0.3",3
7,"english",1,"Female",35,"no","","Yes",".25",3
8,"English",1,"Female",33,"No","","Yes","1.00",2
9,"english",1,"Male",23,"no","","Yes",".25",3
10,"English",0,"Male",24,"no","","Yes",".50",1
11,"English",0,"Male",35,"No.","","Yes","0.50",3
12,"English",0,"Female",40,"no","","Yes",".25",3
13,"English",1,"Male",30,"No",NA,"Yes","0.25",3
14,"English",0,"Male",39,"","","Yes","yes",2
15,"English",1,"Male",32,"None","None","Yes","0.25",3
16,"English",0,"Female",29,"","","Yes","0.40",3
17,"English",0,"Male",34,"No problems","I thought this was interesting","Yes",".30",4
18,"English",0,"Male",30,"No problems arose","","Yes","It was fair",3
19,"English",0,"Male",29,"no","","Yes","0.25",2
20,"English",1,"Female",55,"no","","Yes",".30",3
21,"English",0,"Male",33,"No","","Yes","$0.35",3
22,"English",1,"Female",62,"None.","","Yes","yes",2
23,"English",1,"Male",20,"None","None","Yes","Yes",2
24,"English",0,"Male",36,"","I was prepared to analyse that data and science the sh*t out of this HIT.","Yes","Yes",3
25,"English",0,"Male",52,"No","It is interesting.","Yes",".25",4
26,"English",0,"Female",24,"no","","Yes",".30",4
27,"English",0,"Male",34,"","","Yes","This seems about right",1
28,"english",0,"Female",38,"no","","Yes",".25",1
29,"english",0,"Female",34,"","","Yes",".25",2
30,"English",1,"Male",39,"No","","Yes","yes",3
31,"english",1,"Female",36,"no","","Yes","yes",3
32,"English",0,"Female",39,"No problems","Hope to see more in the future! Have a nice day!","Yes","1.00",1
33,"english",0,"Female",28,"No","","Yes","0.50",3
34,"English",-1,"Male",61,"Input one of the numerical results from the first page? Huh?"," 
","Yes",".75",3
35,"english",1,"Male",25,"no","no","Yes",".30",3
36,"english",0,"Female",29,"no","","Yes","yes",3
37,"English",1,"Male",43,"","","Yes","25",2
38,"English",0,"Male",27,"no","","Yes","0.25",3
39,"English",1,"Male",37,"no","","Yes","$.50",3
40,"english",0,"Male",28,"no","","Yes","yes",1
41,"english",0,"Female",30,"none","none","Yes",".25",3
42,"English",1,"Female",38,"no","","Yes","25",2
43,"English",1,"Male",34,"","","Yes",".20",3
44,"English",0,"Male",29,"no","","Yes",".25",2
45,"English",0,"Female",62,"no",NA,"Yes",".50",3
46,"english",1,"Male",25,"",NA,"Yes","0.25",2
47,"English",1,"Female",61,"",NA,"Yes","0.25",4
48,"English",1,"Female",40,"no",NA,"Yes",".50",2
49,"english",0,"Male",33,"no",NA,"Yes","yes",2
